seconds,ts,rtt
1664920588, 1664920588.1516666, 323.11081886291504
1664920588, 1664920588.6516645, 307.6632022857666
1664920589, 1664920589.1516664, 304.365873336792
1664920590, 1664920589.651665, 472.1415042877197
1664920590, 1664920590.1516654, 448.3823776245117
1664920591, 1664920590.6516666, 436.2175464630127
1664920591, 1664920591.1516676, 436.0809326171875
1664920592, 1664920591.6516662, 426.196813583374
1664920592, 1664920592.1516662, 418.2698726654053
1664920593, 1664920592.651668, 393.33248138427734
1664920593, 1664920593.1516669, 384.27186012268066
1664920594, 1664920593.6516685, 377.305269241333
1664920594, 1664920594.1516674, 370.2430725097656
1664920596, 1664920596.6516685, 99.4260311126709
1664920597, 1664920597.151669, 159.99698638916016
1664920597, 1664920597.6516693, 102.294921875
1664920598, 1664920598.1516695, 166.78452491760254
1664920598, 1664920598.6545887, 191.79892539978027
1664920599, 1664920599.154592, 13.962030410766602
1664920599, 1664920599.6545925, 8.982181549072266
1664920600, 1664920600.1545894, 14.985322952270508
1664920600, 1664920600.6545916, 12.89677619934082
1664920601, 1664920601.1545916, 25.00295639038086
1664920601, 1664920601.6545901, 8.985757827758789
1664920602, 1664920602.1545904, 8.91256332397461
1664920602, 1664920602.6545925, 11.300086975097656
1664920603, 1664920603.1545913, 12.99428939819336
1664920603, 1664920603.6545923, 9.040355682373047
1664920604, 1664920604.1545928, 17.937898635864258
1664920604, 1664920604.6545937, 9.88912582397461
1664920605, 1664920605.1545923, 31.282901763916016
1664920605, 1664920605.654595, 8.225679397583008
1664920606, 1664920606.1545951, 10.958194732666016
1664920606, 1664920606.654593, 8.836030960083008
1664920607, 1664920607.1545956, 9.03010368347168
1664920607, 1664920607.6545959, 13.045072555541992
1664920608, 1664920608.1545935, 9.340524673461914
1664920608, 1664920608.6545963, 21.083354949951172
1664920609, 1664920609.154598, 10.081052780151367
1664920609, 1664920609.654597, 22.278308868408203
1664920610, 1664920610.1545947, 9.130716323852539
1664920610, 1664920610.6545973, 9.500741958618164
1664920611, 1664920611.1545951, 104.06804084777832
1664920611, 1664920611.6545963, 73.09269905090332
1664920612, 1664920612.1545956, 9.362220764160156
1664920612, 1664920612.6545992, 162.07122802734375
1664920613, 1664920613.1545975, 7.992982864379883
1664920613, 1664920613.6546009, 122.18379974365234
1664920614, 1664920614.1546001, 9.358644485473633
1664920614, 1664920614.654597, 8.897781372070312
1664920615, 1664920615.1545973, 9.893655776977539
1664920615, 1664920615.6546001, 7.965326309204102
1664920616, 1664920616.1545982, 13.091087341308594
1664920616, 1664920616.6545997, 10.715246200561523
1664920617, 1664920617.1546018, 12.951374053955078
1664920617, 1664920617.654599, 14.975786209106445
1664920618, 1664920618.1545994, 29.031991958618164
1664920618, 1664920618.654604, 9.032726287841797
1664920619, 1664920619.1546025, 9.051322937011719
1664920619, 1664920619.654603, 8.99815559387207
1664920620, 1664920620.1546035, 9.011030197143555
1664920620, 1664920620.654602, 11.049985885620117
1664920621, 1664920621.1546006, 11.13581657409668
1664920621, 1664920621.6546035, 9.044408798217773
1664920622, 1664920622.1546016, 37.72377967834473
1664920622, 1664920622.6546018, 47.02115058898926
1664920623, 1664920623.1546054, 9.098052978515625
1664920623, 1664920623.6546023, 11.169672012329102
1664920624, 1664920624.1546028, 9.084463119506836
1664920624, 1664920624.6546059, 13.142824172973633
1664920625, 1664920625.1546052, 9.14311408996582
1664920625, 1664920625.6546035, 12.627601623535156
1664920626, 1664920626.1546063, 116.38164520263672
1664920626, 1664920626.654607, 68.06516647338867
1664920627, 1664920627.1546078, 603.395938873291
1664920628, 1664920627.6546075, 448.32921028137207
1664920628, 1664920628.154605, 456.1614990234375
1664920629, 1664920628.654605, 428.8032054901123
1664920629, 1664920629.1546066, 406.7044258117676
1664920630, 1664920629.6546068, 393.9013481140137
1664920630, 1664920630.1546056, 379.18639183044434
1664920631, 1664920630.654607, 377.4721622467041
1664920631, 1664920631.1546078, 370.44334411621094
1664920632, 1664920631.6546078, 593.9993858337402
1664920632, 1664920632.1546068, 135.4389190673828
1664920632, 1664920632.654607, 9.092569351196289
1664920633, 1664920633.1546092, 10.098457336425781
1664920633, 1664920633.6546087, 9.146690368652344
1664920634, 1664920634.1546094, 13.103008270263672
1664920634, 1664920634.6546109, 9.930610656738281
1664920635, 1664920635.1546087, 17.61007308959961
1664920635, 1664920635.654609, 9.464740753173828
1664920636, 1664920636.1546123, 9.082794189453125
1664920636, 1664920636.6546123, 9.484052658081055
1664920637, 1664920637.1546094, 12.159109115600586
1664920637, 1664920637.6546097, 9.200572967529297
1664920638, 1664920638.1546125, 14.155864715576172
1664920638, 1664920638.6546123, 9.196758270263672
1664920639, 1664920639.154612, 9.15217399597168
1664920639, 1664920639.6546106, 22.526025772094727
1664920640, 1664920640.1546135, 9.462118148803711
1664920640, 1664920640.654611, 8.20779800415039
1664920641, 1664920641.1546113, 101.22323036193848
1664920641, 1664920641.6546147, 77.2092342376709
1664920642, 1664920642.15462, 9.495019912719727
1664920642, 1664920642.6546235, 164.34335708618164
1664920643, 1664920643.154627, 11.602640151977539
1664920643, 1664920643.6546273, 126.61147117614746
1664920644, 1664920644.1546297, 9.15837287902832
1664920644, 1664920644.654628, 9.258270263671875
1664920645, 1664920645.154628, 9.67717170715332
1664920645, 1664920645.6546319, 9.245872497558594
1664920646, 1664920646.1546316, 9.160518646240234
1664920646, 1664920646.6546288, 11.134862899780273
1664920647, 1664920647.154632, 9.212255477905273
1664920647, 1664920647.6546319, 13.26441764831543
1664920648, 1664920648.1546297, 21.205663681030273
