frame_no,mtp,psnr
1,178.573974609375,30.21436008756423
2,156.033203125,29.84556344932565
3,163.908447265625,29.840218663659037
4,175.143310546875,30.535474601163568
5,155.795654296875,30.84125697467832
6,153.994873046875,31.19612307010653
7,148.5966796875,31.442805557978048
8,144.98291015625,31.580761041293712
9,148.406982421875,31.66348206195844
10,162.98486328125,32.33113306135218
11,158.44482421875,32.197900587662865
12,157.707275390625,32.252574672872484
13,150.463623046875,32.53819492375207
14,140.3193359375,31.207913572972483
15,160.91064453125,30.97769795061823
16,157.807373046875,30.60927524461336
17,134.8369140625,30.72284996375824
18,132.78076171875,30.625160855033478
19,139.750244140625,30.52343097274475
20,144.100341796875,31.69693026598259
21,131.847900390625,32.39928981532501
22,110.4912109375,32.34282622630582
23,114.719970703125,32.328218215488
24,123.203369140625,32.45156916782729
25,137.588134765625,32.47612832496632
26,152.026123046875,31.92941007773079
27,162.781494140625,31.502197139775053
28,153.6806640625,31.35888289830855
29,153.426025390625,31.436670275908032
30,165.0947265625,30.901316152228198
31,152.383056640625,30.48485650282364
32,158.10693359375,30.299958156365317
33,156.2705078125,29.806899826539112
34,160.3115234375,29.66199470338168
35,158.379150390625,29.4158135112052
36,154.71435546875,29.55928840719821
37,144.964599609375,29.564261897497026
38,147.010498046875,29.63119584882033
39,135.2548828125,29.29500305512957
40,136.130859375,30.012231166324497
41,149.9072265625,29.695231193063908
42,156.798583984375,29.75622278929003
43,152.9794921875,29.465321124679523
44,140.2578125,29.531123682145576
45,147.487060546875,29.661006247252498
46,164.515625,29.94442816018359
47,172.8349609375,29.935213036087145
48,160.72998046875,29.728704366070147
49,148.22998046875,29.79298004864181
50,133.699951171875,29.635411967691603
51,147.807861328125,29.74619866836812
52,154.397705078125,29.97828171192026
53,141.833251953125,29.534172458571593
54,153.17578125,29.61122991812081
55,151.212890625,29.705432546018702
56,155.482666015625,29.72193234876386
57,142.980224609375,29.771269694117713
58,147.25,29.857237832130323
59,152.971923828125,29.44918133197113
60,149.38232421875,29.413489377385716
61,164.888671875,29.45224645063597
62,169.158935546875,29.206683472681583
63,164.4814453125,29.099051655220407
64,155.96826171875,29.286563966967645
65,280.593017578125,29.064832432063195
66,240.80126953125,29.110383417210983
67,219.853271484375,29.106460925021906
68,180.28759765625,29.02602398163916
69,250.888671875,29.070304613305822
70,211.439453125,29.400585262052374
71,185.372802734375,29.26140009851243
72,256.365478515625,29.35960593450408
73,210.355712890625,29.267066775706013
74,176.427734375,29.12782211458202
75,268.9990234375,29.20238187032023
76,237.340576171875,29.54033531504724
77,196.84423828125,29.620607575809778
78,156.254638671875,29.88327736939005
79,196.9794921875,30.086920294757647
80,167.037109375,30.43304959803897
81,306.87890625,30.738213290969373
82,260.984619140625,31.11692963275987
83,237.391845703125,31.12147648387486
84,200.88671875,31.099780934988193
85,252.96435546875,31.20797452940778
86,210.1796875,31.19477390615965
87,166.557373046875,31.235928336243138
88,319.31103515625,31.191379303192033
89,287.790283203125,31.304837692755818
90,246.885986328125,31.255073922763795
91,211.941162109375,31.784546130295965
92,326.9833984375,32.31563197099953
93,291.021484375,32.326887048830606
94,263.6337890625,31.917539864276122
95,222.97705078125,31.89057410976376
