seconds,ts,rtt
1664915917, 1664915916.9332736, 60.52851676940918
1664915917, 1664915917.4332752, 174.38817024230957
1664915917, 1664915917.9332733, 9.413957595825195
1664915918, 1664915918.4332733, 170.41277885437012
1664915918, 1664915918.9332714, 8.320093154907227
1664915919, 1664915919.4332721, 10.412931442260742
1664915919, 1664915919.9332743, 8.365392684936523
1664915920, 1664915920.4332724, 8.375167846679688
1664915920, 1664915920.9332743, 13.538599014282227
1664915921, 1664915921.4332762, 9.417295455932617
1664915921, 1664915921.9332728, 8.291006088256836
1664915922, 1664915922.4332733, 9.428024291992188
1664915922, 1664915922.9332736, 8.358955383300781
1664915923, 1664915923.4332738, 11.373519897460938
1664915923, 1664915923.933274, 10.381221771240234
1664915924, 1664915924.4332764, 9.405374526977539
1664915924, 1664915924.9332745, 8.434772491455078
1664915925, 1664915925.433276, 8.083820343017578
1664915925, 1664915925.9332752, 15.061140060424805
1664915926, 1664915926.4332755, 8.626937866210938
1664915926, 1664915926.9332757, 10.501861572265625
1664915927, 1664915927.433281, 8.439302444458008
1664915927, 1664915927.9332762, 10.098695755004883
1664915928, 1664915928.4332764, 15.419721603393555
1664915928, 1664915928.9332786, 8.444547653198242
1664915929, 1664915929.4332771, 22.58920669555664
1664915929, 1664915929.9332786, 9.456396102905273
1664915930, 1664915930.4332788, 8.30388069152832
1664915931, 1664915930.93328, 152.50539779663086
1664915931, 1664915931.4333603, 40.31872749328613
1664915932, 1664915931.933363, 151.34477615356445
1664915932, 1664915932.4333644, 137.5112533569336
1664915933, 1664915932.9333613, 217.33951568603516
1664915933, 1664915933.433364, 177.51073837280273
1664915934, 1664915933.9333634, 38.32268714904785
1664915934, 1664915934.4333622, 21.331310272216797
1664915934, 1664915934.9333642, 8.365631103515625
1664915935, 1664915935.4333656, 8.338451385498047
1664915935, 1664915935.9333627, 9.491682052612305
1664915936, 1664915936.433365, 9.345769882202148
1664915936, 1664915936.9333656, 7.944583892822266
1664915937, 1664915937.4333642, 8.268594741821289
1664915937, 1664915937.9333653, 13.332843780517578
1664915938, 1664915938.433364, 8.937358856201172
1664915938, 1664915938.933366, 8.463859558105469
1664915939, 1664915939.4333675, 8.329391479492188
1664915939, 1664915939.9333646, 8.47172737121582
1664915940, 1664915940.4333668, 173.6164093017578
1664915941, 1664915940.933367, 61.87033653259277
1664915941, 1664915941.4333653, 52.73747444152832
1664915942, 1664915941.9333675, 44.85821723937988
1664915942, 1664915942.433367, 40.73786735534668
1664915943, 1664915942.9333694, 92.89860725402832
1664915943, 1664915943.4333663, 85.00981330871582
1664915944, 1664915943.9333668, 80.86180686950684
1664915944, 1664915944.4333668, 78.68051528930664
1664915945, 1664915944.9333692, 52.707672119140625
1664915945, 1664915945.4333694, 51.72324180603027
1664915946, 1664915945.934588, 129.15754318237305
1664915946, 1664915946.4345884, 16.139745712280273
1664915946, 1664915946.934592, 24.234533309936523
1664915947, 1664915947.4345908, 63.09938430786133
1664915948, 1664915947.9345891, 103.25455665588379
1664915948, 1664915948.434589, 65.14739990234375
1664915948, 1664915948.934589, 16.09969139099121
1664915949, 1664915949.4345915, 8.212804794311523
1664915949, 1664915949.934592, 10.809898376464844
1664915950, 1664915950.4345899, 9.139537811279297
1664915950, 1664915950.934592, 8.256196975708008
1664915951, 1664915951.4345932, 11.184215545654297
1664915951, 1664915951.9345944, 14.234542846679688
1664915952, 1664915952.4345958, 9.53364372253418
1664915952, 1664915952.9345915, 8.211135864257812
1664915953, 1664915953.4345925, 8.881092071533203
1664915953, 1664915953.9345915, 8.596420288085938
1664915954, 1664915954.434592, 9.119033813476562
1664915954, 1664915954.9345922, 11.198759078979492
1664915955, 1664915955.4345942, 14.205694198608398
1664915955, 1664915955.9345946, 8.225679397583008
1664915956, 1664915956.4345927, 8.24427604675293
1664915956, 1664915956.9345932, 8.23211669921875
1664915957, 1664915957.4345963, 8.157968521118164
1664915957, 1664915957.9345958, 13.002157211303711
1664915958, 1664915958.4345949, 8.21685791015625
1664915958, 1664915958.9345946, 13.183355331420898
1664915959, 1664915959.4345949, 14.254570007324219
1664915959, 1664915959.9345982, 10.242223739624023
1664915960, 1664915960.434598, 8.210420608520508
1664915961, 1664915960.9345958, 158.39099884033203
1664915961, 1664915961.4345982, 31.768083572387695
1664915962, 1664915961.934599, 46.24772071838379
1664915962, 1664915962.4345987, 128.39198112487793
1664915963, 1664915962.9346545, 211.26794815063477
1664915963, 1664915963.4346566, 155.2755832672119
1664915964, 1664915963.9346578, 40.05885124206543
1664915964, 1664915964.4346583, 16.2508487701416
1664915964, 1664915964.934658, 19.354581832885742
1664915965, 1664915965.4346554, 8.151054382324219
1664915965, 1664915965.9346566, 8.222341537475586
1664915966, 1664915966.4346588, 8.317232131958008
1664915966, 1664915966.9346592, 10.135412216186523
1664915967, 1664915967.43466, 10.920286178588867
1664915967, 1664915967.934664, 14.365911483764648
1664915968, 1664915968.4346635, 11.199712753295898
1664915968, 1664915968.9346607, 13.22031021118164
1664915969, 1664915969.434661, 8.232593536376953
1664915969, 1664915969.9346614, 18.28622817993164
1664915970, 1664915970.4346635, 9.156465530395508
1664915970, 1664915970.9346693, 9.186983108520508
1664915971, 1664915971.4346695, 8.3770751953125
1664915971, 1664915971.9346726, 14.183521270751953
1664915972, 1664915972.4346719, 8.171558380126953
1664915972, 1664915972.93467, 15.102624893188477
1664915973, 1664915973.4346704, 9.200334548950195
1664915973, 1664915973.9346724, 8.14962387084961
1664915974, 1664915974.4346712, 8.180856704711914
1664915974, 1664915974.934673, 8.340120315551758
