frame_no,delay,timebase,pts,ts
227,14.266729354858398,1/90000,681000,1664880126435.026
228,14.150619506835938,1/90000,684000,1664880126495.4863
229,12.75944709777832,1/90000,687000,1664880126553.2861
230,14.090299606323242,1/90000,690000,1664880126610.682
231,14.14179801940918,1/90000,693000,1664880126662.8838
232,14.097213745117188,1/90000,696000,1664880126728.5686
233,13.91291618347168,1/90000,699000,1664880126780.4314
234,13.821601867675781,1/90000,702000,1664880126828.3086
235,13.97252082824707,1/90000,705000,1664880126883.0276
236,14.065265655517578,1/90000,708000,1664880126934.6833
237,14.057159423828125,1/90000,711000,1664880126995.728
238,14.41812515258789,1/90000,714000,1664880127055.598
239,14.093875885009766,1/90000,717000,1664880127111.8066
240,14.32037353515625,1/90000,720000,1664880127179.112
241,14.171361923217773,1/90000,723000,1664880127233.671
242,14.236927032470703,1/90000,726000,1664880127291.1113
243,14.13726806640625,1/90000,729000,1664880127345.8577
244,14.042854309082031,1/90000,732000,1664880127406.3633
245,14.172077178955078,1/90000,735000,1664880127470.0674
246,14.078140258789062,1/90000,738000,1664880127526.0088
247,14.090776443481445,1/90000,741000,1664880127586.2708
248,14.193534851074219,1/90000,744000,1664880127646.8948
249,14.035940170288086,1/90000,747000,1664880127701.4246
250,17.110109329223633,1/90000,750000,1664880127761.9268
251,16.822338104248047,1/90000,753000,1664880127830.928
252,17.218589782714844,1/90000,756000,1664880127892.1152
253,15.763998031616211,1/90000,759000,1664880127956.2654
254,16.445159912109375,1/90000,762000,1664880128016.7197
255,11.832237243652344,1/90000,765000,1664880128073.332
256,13.692855834960938,1/90000,768000,1664880128128.4297
257,13.937711715698242,1/90000,771000,1664880128183.3098
258,14.308929443359375,1/90000,774000,1664880128243.5823
259,14.129877090454102,1/90000,777000,1664880128290.17
260,14.129400253295898,1/90000,780000,1664880128352.3147
261,14.175176620483398,1/90000,783000,1664880128403.966
262,14.108896255493164,1/90000,786000,1664880128465.865
263,14.395713806152344,1/90000,789000,1664880128523.607
264,14.145135879516602,1/90000,792000,1664880128584.4028
265,14.253377914428711,1/90000,795000,1664880128638.7458
266,14.022350311279297,1/90000,798000,1664880128701.9058
267,14.046907424926758,1/90000,801000,1664880128757.6702
268,15.002727508544922,1/90000,804000,1664880128814.5999
269,13.556480407714844,1/90000,807000,1664880128867.8967
270,12.907028198242188,1/90000,810000,1664880128912.5957
271,14.256477355957031,1/90000,813000,1664880128957.7485
272,11.60573959350586,1/90000,816000,1664880129014.4534
273,14.603853225708008,1/90000,819000,1664880129066.4048
274,14.063835144042969,1/90000,822000,1664880129131.686
275,13.256311416625977,1/90000,825000,1664880129194.8186
276,14.65463638305664,1/90000,828000,1664880129253.2617
277,15.543699264526367,1/90000,831000,1664880129310.7583
278,14.602184295654297,1/90000,834000,1664880129372.2327
279,12.80522346496582,1/90000,837000,1664880129429.1252
280,15.86771011352539,1/90000,840000,1664880129488.3264
281,14.802217483520508,1/90000,843000,1664880129545.64
282,7.877111434936523,1/90000,846000,1664880129607.6533
283,14.556169509887695,1/90000,849000,1664880129661.9722
284,14.392614364624023,1/90000,852000,1664880129724.7827
285,16.51906967163086,1/90000,855000,1664880129786.0618
286,16.323328018188477,1/90000,858000,1664880129848.4553
287,11.286020278930664,1/90000,861000,1664880129911.2712
288,16.95847511291504,1/90000,864000,1664880129969.5142
289,15.264272689819336,1/90000,867000,1664880130023.8035
290,11.583805084228516,1/90000,870000,1664880130077.3452
291,9.623050689697266,1/90000,873000,1664880130120.136
292,11.98124885559082,1/90000,876000,1664880130160.396
293,12.10474967956543,1/90000,879000,1664880130200.8281
294,10.48135757446289,1/90000,882000,1664880130255.5369
295,11.505842208862305,1/90000,885000,1664880130294.546
296,17.41623878479004,1/90000,888000,1664880130343.4143
297,14.189958572387695,1/90000,891000,1664880130396.3052
298,14.157295227050781,1/90000,894000,1664880130451.5847
299,13.947248458862305,1/90000,897000,1664880130503.519
300,13.911962509155273,1/90000,900000,1664880130556.7927
301,17.94719696044922,1/90000,903000,1664880130609.4575
302,13.061761856079102,1/90000,906000,1664880130666.9634
303,13.974428176879883,1/90000,909000,1664880130715.4175
304,16.035795211791992,1/90000,912000,1664880130765.2349
305,10.018110275268555,1/90000,915000,1664880130821.8843
306,14.133691787719727,1/90000,918000,1664880130878.9678
307,13.824701309204102,1/90000,921000,1664880130925.346
308,13.984918594360352,1/90000,924000,1664880130978.3281
309,14.358043670654297,1/90000,927000,1664880131036.3723
310,14.520883560180664,1/90000,930000,1664880131099.0374
311,18.831491470336914,1/90000,933000,1664880131148.084
312,14.784812927246094,1/90000,936000,1664880131206.3354
313,13.679742813110352,1/90000,939000,1664880131261.516
314,13.944149017333984,1/90000,942000,1664880131321.2278
315,14.013528823852539,1/90000,945000,1664880131370.7578
316,14.040470123291016,1/90000,948000,1664880131430.6086
317,13.940811157226562,1/90000,951000,1664880131478.5205
318,14.111518859863281,1/90000,954000,1664880131542.3154
319,13.802766799926758,1/90000,957000,1664880131593.5312
320,9.124279022216797,1/90000,960000,1664880131648.4814
321,16.171932220458984,1/90000,963000,1664880131703.4036
322,14.746904373168945,1/90000,966000,1664880131764.7883
323,15.331506729125977,1/90000,969000,1664880131820.98
324,13.877153396606445,1/90000,972000,1664880131889.9639
325,9.527921676635742,1/90000,975000,1664880131945.5095
326,11.739969253540039,1/90000,978000,1664880132004.9756
327,10.385751724243164,1/90000,981000,1664880132061.6274
328,14.229059219360352,1/90000,984000,1664880132110.5493
329,14.822721481323242,1/90000,987000,1664880132176.578
330,14.914274215698242,1/90000,990000,1664880132234.7292
331,14.055967330932617,1/90000,993000,1664880132293.946
332,15.071630477905273,1/90000,996000,1664880132355.408
333,14.159679412841797,1/90000,999000,1664880132413.908
334,14.111995697021484,1/90000,1002000,1664880132469.3218
335,14.140605926513672,1/90000,1005000,1664880132535.9626
336,14.454841613769531,1/90000,1008000,1664880132599.434
337,14.050006866455078,1/90000,1011000,1664880132666.0818
338,14.06407356262207,1/90000,1014000,1664880132726.266
339,14.095067977905273,1/90000,1017000,1664880132786.5083
340,14.066457748413086,1/90000,1020000,1664880132843.9182
341,14.291048049926758,1/90000,1023000,1664880132904.9578
342,14.699697494506836,1/90000,1026000,1664880132974.4014
343,13.928651809692383,1/90000,1029000,1664880133020.5808
344,14.116287231445312,1/90000,1032000,1664880133080.1404
345,14.071226119995117,1/90000,1035000,1664880133124.8877
346,13.99374008178711,1/90000,1038000,1664880133177.8843
347,14.008283615112305,1/90000,1041000,1664880133243.9512
348,14.019489288330078,1/90000,1044000,1664880133298.1516
349,14.109134674072266,1/90000,1047000,1664880133356.0095
350,13.625621795654297,1/90000,1050000,1664880133416.2424
351,14.021873474121094,1/90000,1053000,1664880133469.4639
352,14.196395874023438,1/90000,1056000,1664880133528.2766
353,19.981861114501953,1/90000,1059000,1664880133589.3345
354,14.127969741821289,1/90000,1062000,1664880133657.6262
355,13.963460922241211,1/90000,1065000,1664880133715.2612
356,13.966560363769531,1/90000,1068000,1664880133767.7979
357,13.959646224975586,1/90000,1071000,1664880133815.0054
358,14.153480529785156,1/90000,1074000,1664880133873.6133
359,14.066934585571289,1/90000,1077000,1664880133941.1108
360,14.789581298828125,1/90000,1080000,1664880133995.478
361,16.838788986206055,1/90000,1083000,1664880134045.4219
362,14.547586441040039,1/90000,1086000,1664880134112.6128
363,14.279842376708984,1/90000,1089000,1664880134162.7832
364,13.987302780151367,1/90000,1092000,1664880134225.4812
365,18.22376251220703,1/90000,1095000,1664880134286.638
366,14.255523681640625,1/90000,1098000,1664880134357.2253
367,14.359712600708008,1/90000,1101000,1664880134414.413
368,14.650106430053711,1/90000,1104000,1664880134478.5352
369,14.721870422363281,1/90000,1107000,1664880134541.2273
370,14.080286026000977,1/90000,1110000,1664880134603.1536
371,13.613224029541016,1/90000,1113000,1664880134668.7556
372,16.21866226196289,1/90000,1116000,1664880134727.4333
373,14.035940170288086,1/90000,1119000,1664880134787.087
374,14.181852340698242,1/90000,1122000,1664880134851.1924
375,14.371871948242188,1/90000,1125000,1664880134907.331
376,13.088464736938477,1/90000,1128000,1664880134967.7922
377,13.838529586791992,1/90000,1131000,1664880135015.9104
378,16.054630279541016,1/90000,1134000,1664880135083.9355
379,13.185262680053711,1/90000,1137000,1664880135147.2432
380,14.823436737060547,1/90000,1140000,1664880135205.9136
381,14.196634292602539,1/90000,1143000,1664880135269.5537
382,14.547348022460938,1/90000,1146000,1664880135327.4153
383,14.233589172363281,1/90000,1149000,1664880135382.3738
384,14.57357406616211,1/90000,1152000,1664880135442.5852
385,17.596006393432617,1/90000,1155000,1664880135503.562
386,15.978574752807617,1/90000,1158000,1664880135560.8708
387,14.027118682861328,1/90000,1161000,1664880135632.9043
388,14.041900634765625,1/90000,1164000,1664880135700.5603
389,14.386892318725586,1/90000,1167000,1664880135750.4922
390,16.534805297851562,1/90000,1170000,1664880135815.1665
391,14.003753662109375,1/90000,1173000,1664880135865.1528
392,14.754533767700195,1/90000,1176000,1664880135925.781
393,14.845609664916992,1/90000,1179000,1664880135986.19
394,14.33253288269043,1/90000,1182000,1664880136047.3784
395,14.430761337280273,1/90000,1185000,1664880136101.6343
396,8.995771408081055,1/90000,1188000,1664880136151.8323
397,11.58452033996582,1/90000,1191000,1664880136209.154
398,16.538143157958984,1/90000,1194000,1664880136260.8896
399,14.296293258666992,1/90000,1197000,1664880136322.9077
400,14.793157577514648,1/90000,1200000,1664880136383.2144
401,14.050006866455078,1/90000,1203000,1664880136447.2058
402,17.096757888793945,1/90000,1206000,1664880136507.2688
403,14.213800430297852,1/90000,1209000,1664880136568.2576
404,14.035701751708984,1/90000,1212000,1664880136616.4612
405,14.071226119995117,1/90000,1215000,1664880136685.1135
406,14.189481735229492,1/90000,1218000,1664880136744.9832
407,13.974428176879883,1/90000,1221000,1664880136796.3447
408,13.89312744140625,1/90000,1224000,1664880136841.3713
409,19.57392692565918,1/90000,1227000,1664880136901.8945
410,16.165733337402344,1/90000,1230000,1664880136975.0652
411,12.526988983154297,1/90000,1233000,1664880137024.7778
412,14.206886291503906,1/90000,1236000,1664880137081.5745
413,7.232189178466797,1/90000,1239000,1664880137130.2632
414,8.726358413696289,1/90000,1242000,1664880137175.5725
415,13.279199600219727,1/90000,1245000,1664880137220.7168
416,12.565135955810547,1/90000,1248000,1664880137277.4714
417,14.565706253051758,1/90000,1251000,1664880137329.797
418,13.975381851196289,1/90000,1254000,1664880137387.696
419,12.36724853515625,1/90000,1257000,1664880137431.1306
420,13.987302780151367,1/90000,1260000,1664880137485.0986
421,13.606786727905273,1/90000,1263000,1664880137536.1248
422,14.285564422607422,1/90000,1266000,1664880137591.5232
423,13.947010040283203,1/90000,1269000,1664880137647.807
424,13.985395431518555,1/90000,1272000,1664880137708.3298
425,13.620376586914062,1/90000,1275000,1664880137759.0483
426,14.086008071899414,1/90000,1278000,1664880137818.14
427,17.871618270874023,1/90000,1281000,1664880137864.7952
428,12.970685958862305,1/90000,1284000,1664880137921.1985
429,13.95726203918457,1/90000,1287000,1664880137975.8364
430,14.153718948364258,1/90000,1290000,1664880138031.059
431,13.853073120117188,1/90000,1293000,1664880138085.1912
432,14.230728149414062,1/90000,1296000,1664880138140.6682
433,17.868995666503906,1/90000,1299000,1664880138199.757
434,14.205217361450195,1/90000,1302000,1664880138263.6533
435,16.529560089111328,1/90000,1305000,1664880138324.1404
436,14.21809196472168,1/90000,1308000,1664880138384.8345
437,14.019012451171875,1/90000,1311000,1664880138443.335
438,14.006853103637695,1/90000,1314000,1664880138500.0603
439,12.452840805053711,1/90000,1317000,1664880138562.7844
440,14.701366424560547,1/90000,1320000,1664880138627.771
441,7.441043853759766,1/90000,1323000,1664880138688.785
442,9.426116943359375,1/90000,1326000,1664880138730.3738
443,14.571666717529297,1/90000,1329000,1664880138787.0833
444,14.48965072631836,1/90000,1332000,1664880138853.0999
445,13.494014739990234,1/90000,1335000,1664880138918.788
446,13.642311096191406,1/90000,1338000,1664880138973.7744
447,13.869762420654297,1/90000,1341000,1664880139027.6582
448,11.138916015625,1/90000,1344000,1664880139085.2
449,14.002799987792969,1/90000,1347000,1664880139141.5247
450,13.92984390258789,1/90000,1350000,1664880139194.9797
451,12.098073959350586,1/90000,1353000,1664880139255.3022
452,14.48822021484375,1/90000,1356000,1664880139312.1711
453,14.461278915405273,1/90000,1359000,1664880139368.7754
454,13.973712921142578,1/90000,1362000,1664880139425.878
455,14.252185821533203,1/90000,1365000,1664880139479.0283
456,14.366388320922852,1/90000,1368000,1664880139532.9626
457,14.595508575439453,1/90000,1371000,1664880139579.1555
458,14.244318008422852,1/90000,1374000,1664880139634.6128
459,13.25845718383789,1/90000,1377000,1664880139689.057
460,16.632080078125,1/90000,1380000,1664880139741.1172
461,12.386560440063477,1/90000,1383000,1664880139801.6965
462,13.830184936523438,1/90000,1386000,1664880139859.8125
463,13.750553131103516,1/90000,1389000,1664880139911.7566
464,14.027833938598633,1/90000,1392000,1664880139968.0125
465,14.11747932434082,1/90000,1395000,1664880140031.6907
466,14.406681060791016,1/90000,1398000,1664880140094.7124
467,14.26386833190918,1/90000,1401000,1664880140151.7607
468,13.976812362670898,1/90000,1404000,1664880140217.1194
469,14.00446891784668,1/90000,1407000,1664880140273.7217
470,14.084100723266602,1/90000,1410000,1664880140334.1765
471,14.310359954833984,1/90000,1413000,1664880140381.676
472,14.136314392089844,1/90000,1416000,1664880140451.4026
473,14.34016227722168,1/90000,1419000,1664880140508.696
474,12.193441390991211,1/90000,1422000,1664880140574.5957
475,14.79482650756836,1/90000,1425000,1664880140628.5046
476,16.39080047607422,1/90000,1428000,1664880140702.3687
477,19.961118698120117,1/90000,1431000,1664880140752.9248
478,18.251895904541016,1/90000,1434000,1664880140825.7405
479,13.976335525512695,1/90000,1437000,1664880140886.657
480,14.246225357055664,1/90000,1440000,1664880140948.0132
481,13.167619705200195,1/90000,1443000,1664880140999.1128
482,15.003442764282227,1/90000,1446000,1664880141061.212
483,13.842105865478516,1/90000,1449000,1664880141113.6677
484,14.708995819091797,1/90000,1452000,1664880141170.0771
485,14.361858367919922,1/90000,1455000,1664880141223.0217
486,13.185977935791016,1/90000,1458000,1664880141281.55
487,8.604288101196289,1/90000,1461000,1664880141326.5435
488,13.452768325805664,1/90000,1464000,1664880141378.618
489,15.916109085083008,1/90000,1467000,1664880141430.402
490,16.396760940551758,1/90000,1470000,1664880141490.918
491,6.900548934936523,1/90000,1473000,1664880141540.543
492,12.831449508666992,1/90000,1476000,1664880141592.5598
493,7.47370719909668,1/90000,1479000,1664880141650.5598
494,7.726192474365234,1/90000,1482000,1664880141702.7266
495,14.879465103149414,1/90000,1485000,1664880141754.9346
496,13.981342315673828,1/90000,1488000,1664880141823.2146
497,13.63682746887207,1/90000,1491000,1664880141876.3118
498,14.340400695800781,1/90000,1494000,1664880141940.2417
499,16.176939010620117,1/90000,1497000,1664880141991.5251
500,13.96322250366211,1/90000,1500000,1664880142052.3635
501,13.842105865478516,1/90000,1503000,1664880142096.4688
502,14.786958694458008,1/90000,1506000,1664880142155.5627
503,14.891862869262695,1/90000,1509000,1664880142204.9492
504,14.131546020507812,1/90000,1512000,1664880142258.6382
505,14.07003402709961,1/90000,1515000,1664880142315.5732
506,15.342473983764648,1/90000,1518000,1664880142373.6738
507,16.399860382080078,1/90000,1521000,1664880142432.1719
508,13.1683349609375,1/90000,1524000,1664880142491.0308
509,17.16327667236328,1/90000,1527000,1664880142556.5332
510,14.069318771362305,1/90000,1530000,1664880142619.4202
511,16.290664672851562,1/90000,1533000,1664880142669.5066
512,15.524864196777344,1/90000,1536000,1664880142728.7395
513,14.150619506835938,1/90000,1539000,1664880142785.0757
